Order Date,Product Name,Category,Sales,Profit
2024-01-05,Laptop,Technology,50000,8000
2024-01-10,Chair,Furniture,7000,1000
2024-01-15,Phone,Technology,30000,5000
2024-01-20,Table,Furniture,12000,1500
2024-01-25,Printer,Office Supplies,15000,2500
2024-02-01,Notebook,Office Supplies,2000,500
2024-02-05,Monitor,Technology,18000,3000
2024-02-10,Sofa,Furniture,25000,4000
2024-02-15,Mouse,Technology,1500,300
2024-02-20,Desk,Furniture,10000,1800
2024-02-25,Keyboard,Technology,3500,700
2024-03-01,Bookshelf,Furniture,14000,2200
2024-03-05,Tablet,Technology,22000,3500
2024-03-10,Pen Set,Office Supplies,1200,250
2024-03-15,Scanner,Technology,17000,2800
2024-03-20,Cabinet,Furniture,16000,2600
2024-03-25,Paper Pack,Office Supplies,2500,600
2024-04-01,Headphones,Technology,6000,1200
2024-04-05,Whiteboard,Office Supplies,4000,800
2024-04-10,Couch,Furniture,28000,4500
2024-04-15,Smartwatch,Technology,19000,3200
2024-04-20,File Organizer,Office Supplies,1800,350
2024-04-25,Dining Table,Furniture,35000,6000
2024-05-01,Projector,Technology,27000,5000
2024-05-05,Stapler,Office Supplies,900,150
2024-05-10,Bed,Furniture,40000,7000
2024-05-15,Camera,Technology,32000,5500
2024-05-20,Office Chair,Furniture,11000,1700
2024-05-25,Calculator,Office Supplies,3000,500
2024-06-01,Speaker,Technology,8000,1300
2024-06-05,Wardrobe,Furniture,45000,7500
2024-06-10,Router,Technology,5000,900
2024-06-15,Markers,Office Supplies,1300,250
2024-06-20,Coffee Table,Furniture,9000,1400
2024-06-25,External Hard Drive,Technology,12000,2100
2024-07-01,Desk Lamp,Office Supplies,2200,400
2024-07-05,Gaming Laptop,Technology,65000,10000
2024-07-10,Shoe Rack,Furniture,7000,1200
2024-07-15,Microphone,Technology,9500,1600
2024-07-20,Sticky Notes,Office Supplies,700,120
2024-07-25,Recliner,Furniture,30000,5200
2024-08-01,Smart TV,Technology,55000,8500
2024-08-05,Books,Office Supplies,2600,450
2024-08-10,Study Table,Furniture,15000,2500
2024-08-15,Drone,Technology,48000,7800
2024-08-20,Paper Cutter,Office Supplies,3500,650
2024-08-25,Bean Bag,Furniture,6000,1000
2024-09-01,VR Headset,Technology,42000,7000
2024-09-05,Clipboard,Office Supplies,1000,180
2024-09-10,Dressing Table,Furniture,20000,3500